Cargando SANTANDER BERSA 223 FEBRERO 2024.pdf...
Extraidas 572 transacciones. OCR: true

IDX | FECHA       | MONTO_R             | MONTO_D             | SALDO_EXT       | SALDO_CALC      | STATUS   | CONCEPTO
----------------------------------------------------------------------------------------------------------------------------------
  1 | 01-FEB-2024 |                     |                0.01 |       299667.06 |       299667.06 | OK         | ABO POR INTERESES DEL PERIODO 01-01-2024 AL 31-01-2024
  2 | 01-FEB-2024 |                0.01 |                     |       299667.05 |       299667.05 | OK         | RETENCION SR 01-01-2024 AL 31-01-2024
  3 | 01-FEB-2024 |              400.00 |                     |       299267.05 |       299267.05 | OK         | COBRO POR BAJA FACTURACION AFIL.-008225896
  4 | 01-FEB-2024 |               64.00 |                     |       299203.05 |       299203.05 | OK         | COBRO IVA AFIL.-008225896
  5 | 01-FEB-2024 |            8,902.15 |                     |        290300.9 |        290300.9 | OK         | CARGO PAGO NOMINA POR APLICAR PAGO DE NOMINA
  6 | 01-FEB-2024 |                     |              499.00 |        290799.9 |        290799.9 | OK         | BONI COM MEMBRESIA CTA E PYME 27167
  7 | 01-FEB-2024 |                     |               79.84 |       290879.74 |       290879.74 | OK         | ANUL O BONI IVA COM 27168
  8 | 01-FEB-2024 |            3,495.38 |                     |       287384.36 |       287384.36 | OK         | CARGO PAGO NOMINA POR APLICAR PAGO DE NOMINA
  9 | 01-FEB-2024 |                     |        5,000,000.00 |      5287384.36 |      5287384.36 | OK         | ABONO TRANSFERENCIA ENLACE DISPOSICION DE CREDITO
 10 | 01-FEB-2024 |        2,900,000.00 |                     |      2387384.36 |      2387384.36 | OK         | CARGO TRANSFERENCIA ENLACE PRESTAMO
 11 | 01-FEB-2024 |                     |          400,000.00 |      2787384.36 |      2787384.36 | OK         | ABONO TRANSFERENCIA SPEI HORA 17:18:54 RECIBIDO DE BANORTE D
 12 | 01-FEB-2024 |           29,580.00 |                     |      2757804.36 |      2757804.36 | OK         | PAGO TRANSFERENCIA SPEI HORA 17:34:43 ENVIADO A BBVA MEXICO 
 13 | 01-FEB-2024 |            4,616.35 |                     |      2753188.01 |      2753188.01 | OK         | PAGO TRANSFERENCIA SPEI HORA 17:34:43 ENVIADO A BANORTE A LA
 14 | 01-FEB-2024 |            8,125.00 |                     |      2745063.01 |      2745063.01 | OK         | PAGO TRANSFERENCIA SPEI HORA 17:34:43 ENVIADO A SCOTIABANK A
 15 | 01-FEB-2024 |            7,525.75 |                     |      2737537.26 |      2737537.26 | OK         | CARGO TRANSFERENCIA ENLACE PAGO FACTURA GOLEM
 16 | 01-FEB-2024 |           58,422.26 |                     |         2679115 |         2679115 | OK         | PAGO TRANSFERENCIA SPEI HORA 17:34:43 ENVIADO A BANAMEX ALA 
 17 | 01-FEB-2024 |           55,514.88 |                     |      2623600.12 |      2623600.12 | OK         | CARGO TRANSFERENCIA ENLACE PAGO FACTURAS ANA LILIA
 18 | 01-FEB-2024 |           24,564.28 |                     |      2599035.84 |      2599035.84 | OK         | PAGO TRANSFERENCIA SPEI HORA 17:34:43 ENVIADO A BBVA MEXICO 
 19 | 01-FEB-2024 |           98,840.46 |                     |      2500195.38 |      2500195.38 | OK         | PAGO TRANSFERENCIA SPEI HORA 17:34:44 ENVIADO A BBVA MEXICO 
